month	dallar_won	jpy_won	kospi	kosdaq	producers_price_index	composite_economic_indexes	current_account_balance	balance_of_trade	CSI
201701월	1162.1 	1024.1 	2067.6 	616.1 	3.9 	100.5 	3402.0 	2612.0 	93.3 
201702월	1130.7 	1005.8 	2091.6 	612.2 	4.3 	100.5 	7439.0 	6964.0 	94.4 
201703월	1118.4 	1000.4 	2160.2 	619.3 	4.3 	100.7 	5140.0 	6059.0 	96.7 
201704월	1137.9 	1023.2 	2205.4 	628.2 	3.8 	100.7 	3184.0 	12885.0 	101.2 
201705월	1119.5 	1009.1 	2347.4 	652.0 	3.4 	100.7 	4262.0 	5639.0 	108.0 
201706월	1144.1 	1021.4 	2391.8 	669.0 	2.8 	100.6 	7009.0 	10721.0 	110.8 
201707월	1119.0 	1011.9 	2402.7 	650.5 	3.0 	100.5 	7467.0 	10223.0 	110.9 
201708월	1127.8 	1020.2 	2363.2 	657.8 	3.3 	100.4 	6139.0 	6556.0 	109.6 
201709월	1145.4 	1016.7 	2394.5 	652.8 	3.8 	100.4 	12338.0 	13419.0 	107.4 
201710월	1120.4 	991.2 	2523.4 	694.2 	3.6 	100.2 	6890.0 	6934.0 	108.9 
201711월	1088.2 	970.2 	2476.4 	771.4 	3.1 	100.2 	7474.0 	7693.0 	112.0 
201712월	1070.5 	949.3 	2467.5 	798.4 	2.2 	99.8 	4487.0 	5511.0 	110.6 
201801월	1067.9 	983.0 	2566.5 	913.6 	1.2 	99.8 	2557.0 	3416.0 	109.9 
201802월	1082.8 	1010.7 	2427.4 	857.1 	1.3 	99.8 	3227.0 	2801.0 	108.1 
201803월	1063.5 	1001.7 	2445.9 	871.1 	1.3 	99.8 	5210.0 	6412.0 	108.0 
201804월	1068.0 	978.4 	2515.4 	876.0 	1.7 	99.7 	1490.0 	6156.0 	107.0 
201805월	1077.7 	991.4 	2423.0 	879.7 	2.2 	99.7 	8792.0 	6229.0 	107.9 
201806월	1114.5 	1007.2 	2326.1 	818.2 	2.6 	101.2 	7980.0 	6079.0 	105.4 
201807월	1118.7 	1004.9 	2295.3 	775.5 	3.0 	101.1 	8874.0 	6893.0 	100.8 
201808월	1112.9 	1003.0 	2322.9 	817.0 	3.1 	101.0 	8581.0 	6820.0 	98.9 
201809월	1109.3 	977.7 	2343.1 	822.3 	2.7 	100.7 	11236.0 	9617.0 	100.0 
201810월	1139.6 	1006.5 	2029.7 	648.7 	2.2 	100.7 	9474.0 	6380.0 	99.2 
201811월	1121.2 	988.8 	2096.9 	695.8 	1.5 	100.5 	5131.0 	4671.0 	95.7 
201812월	1115.7 	1008.9 	2041.0 	675.7 	0.9 	100.4 	4914.0 	4182.0 	96.9 
201901월	1112.7 	1023.0 	2204.9 	716.9 	0.4 	100.4 	3296.0 	1016.0 	97.5 
201902월	1124.7 	1015.5 	2195.4 	731.3 	0.1 	100.0 	3850.0 	2830.0 	99.5 
201903월	1135.1 	1025.5 	2140.7 	729.3 	0.5 	99.9 	5040.0 	5011.0 	99.8 
201904월	1168.2 	1048.8 	2203.6 	754.7 	0.6 	99.9 	-393.0 	3734.0 	101.6 
201905월	1190.9 	1093.3 	2041.7 	696.5 	0.4 	100.1 	5176.0 	2084.0 	97.9 
201906월	1154.7 	1072.2 	2130.6 	690.5 	0.1 	100.1 	5665.0 	3904.0 	97.5 
201907월	1183.1 	1090.2 	2024.6 	630.2 	-0.4 	100.0 	6585.0 	2316.0 	95.9 
201908월	1211.2 	1139.0 	1967.8 	610.6 	-0.6 	100.2 	4861.0 	1563.0 	92.5 
201909월	1196.2 	1109.5 	2063.1 	621.8 	-0.8 	100.2 	7759.0 	5888.0 	96.9 
201910월	1163.4 	1070.5 	2083.5 	658.5 	-0.7 	100.2 	7827.0 	5252.0 	98.6 
201911월	1181.2 	1078.8 	2088.0 	636.3 	-0.1 	100.1 	5975.0 	3312.0 	101.0 
201912월	1156.4 	1059.8 	2197.7 	669.8 	0.7 	100.5 	4331.0 	1981.0 	100.5 
202001월	1191.8 	1093.1 	2119.0 	642.5 	1.1 	100.7 	1007.0 	373.0 	104.2 
202002월	1213.7 	1114.8 	1987.0 	610.7 	0.7 	100.1 	6367.0 	3900.0 	96.9 
202003월	1217.4 	1123.5 	1754.6 	569.1 	-0.5 	99.0 	5961.0 	4371.0 	78.4 
202004월	1218.2 	1143.3 	1947.6 	654.2 	-1.7 	97.6 	-3331.0 	-1608.0 	70.8 
202005월	1238.5 	1155.3 	2029.6 	713.7 	-1.8 	96.8 	2286.0 	386.0 	77.6 
202006월	1203.0 	1116.6 	2108.3 	738.0 	-1.0 	97.0 	6880.0 	3621.0 	81.8 
202007월	1191.3 	1141.4 	2249.4 	815.3 	-0.8 	97.2 	7452.0 	4134.0 	84.2 
